group,order,fam_,Species,L-W group,Female length at maturity (mm),length at hatching (mm),mass at hatch (g),Size at maturity (g),mo/M,Clutch size,Clutches/yr,Female age at maturity,,adult lifespan,Adult survival rate,Adult instantaneous mortality rate per year,juvenile survival to adulthood,,lifetime fecundity,annual juvenile survival,reproductive mode,Notes
Reptile,Squamate,Phrynosomatidae,Sceloporus undulatus,Iguania,60,25,0.316606224,5.414327292,0.058629417,5.6,2,0.9,3.545989709,1.149425287,0.13,2.04,0.157,12.87356322,5.489601833,0.13,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus virgatus,Iguania,47,21.5,0.194132356,2.452524493,0.079342074,9.5,1,1.8,1.844257382,2,0.5,0.69,0.105,19,13.70560289,0.29,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus virgatus,Iguania,47,21.5,0.194132356,2.452524493,0.079342074,9.5,1,1.8,1.844257382,1.886792453,0.47,0.76,0.112,17.9245283,12.58240508,0.3,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Sceloporus virgatus,Iguania,47,21.5,0.194132356,2.452524493,0.079342074,9.5,1,1.8,1.844257382,1.785714286,0.44,0.82,0.118,16.96428571,11.57152868,0.31,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Lacertidae,Takydromus tachydromoides,Lacertidae,45,22,0.262113465,2.165858741,0.098410387,4.2,3,1,3.302629659,1.315789474,0.24,1.43,0.121,16.57894737,8.82899278,0.12,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Lacertidae,Takydromus tachydromoides,Lacertidae,45,22,0.262113465,2.165858741,0.098410387,3.6,3,1,2.830825422,1.315789474,0.24,1.43,0.14,14.21052632,7.567708097,0.14,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Lacertidae,Takydromus tachydromoides,Lacertidae,45,22,0.262113465,2.165858741,0.098410387,3.6,3,1,2.830825422,1.315789474,0.24,1.43,0.141,14.21052632,7.567708097,0.14,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Urosaurus ornatus,Iguania,41,21,0.179869353,1.574918365,0.114438148,9,2,3.8,3.237648354,1.428571429,0.3,1.2,0.078,25.71428571,14.95050381,0.51,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Urosaurus ornatus,Iguania,41,21,0.179869353,1.574918365,0.114438148,4.7,3,3.4,2.536157877,1.515151515,0.34,1.08,0.094,21.36363636,13.06996081,0.5,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Urosaurus ornatus,Iguania,41,24.5,0.296527934,1.574918365,0.188572526,5.3,3,3.3,4.714794151,1.298701299,0.23,1.47,0.097,20.64935065,10.81871128,0.49,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Urosaurus ornatus,Iguania,41,24.5,0.296527934,1.574918365,0.188572526,9,1.5,3.4,4.003127109,1.492537313,0.33,1.11,0.099,20.14925373,12.17683333,0.51,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Urosaurus ornatus,Iguania,41,21,0.179869353,1.574918365,0.114438148,4.2,1.5,3.3,1.133176924,1.388888889,0.28,1.27,0.226,8.75,4.949072956,0.64,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Uta stansburiana,Iguania,41,22,0.209159095,1.574918365,0.133054568,3.9,3.5,3.5,2.855021647,1.136363636,0.12,2.12,0.129,15.51136364,6.437878956,0.56,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Uta stansburiana,Iguania,41,22,0.209159095,1.574918365,0.133054568,3.3,4,3.4,2.760900054,1.123595506,0.11,2.21,0.134,14.83146067,5.98022472,0.55,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Phrynosomatidae,Uta stansburiana,Iguania,41,22,0.209159095,1.574918365,0.133054568,3.7,1,3.5,0.773888652,1.428571429,0.3,1.2,0.383,5.285714286,3.073159117,0.76,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Xantusiidae,Xantusia vigilis,Xantusiidae,39,23,0.226228046,1.131266489,0.180696134,1.8,1,3,0.407210483,3.448275862,0.71,0.34,0.324,6.206896552,5.255623161,0.69,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Xantusiidae,Xantusia vigilis,Xantusiidae,39,23,0.226228046,1.131266489,0.180696134,1.8,1,3,0.407210483,3.448275862,0.71,0.34,0.326,6.206896552,5.255623161,0.69,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Agkistrodon contortrix,Viperidae,420,220,11.32745166,63.05606512,0.123061381,5.5,0.5,3,31.15049207,3.448275862,0.71,0.34,0.212,9.482758621,8.029424273,0.6,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Agkistrodon contortrix,Viperidae,420,220,11.32745166,63.05606512,0.123061381,5.3,0.5,3,30.0177469,3.448275862,0.71,0.34,0.219,9.137931034,7.737445209,0.6,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Agkistrodon contortrix,Viperidae,420,220,11.32745166,63.05606512,0.196027474,5.3,0.5,3,30.0177469,3.333333333,0.7,0.36,0.226,8.833333333,7.429734118,0.61,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Agkistrodon contortrix,Viperidae,420,220,11.32745166,63.05606512,0.196027474,5.3,0.5,3,30.0177469,3.225806452,0.69,0.37,0.234,8.548387097,7.141631296,0.62,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Carphophis vermis,Colubridae,250,114.5,1.109659732,7.939786452,0.139759393,3,1,3,3.328979196,2.857142857,0.65,0.43,0.234,8.571428571,6.964064469,0.62,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Carphophis vermis,Colubridae,250,114.5,1.109659732,7.939786452,0.139759393,3,1,2.1,3.328979196,2.857142857,0.65,0.43,0.234,8.571428571,6.964064469,0.5,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Coluber constrictor,Colubridae,580,214.5,5.397551406,66.19703594,0.08153766,11.8,1,2,63.69110659,2.631578947,0.62,0.48,0.064,31.05263158,24.68434368,0.25,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Coluber constrictor,Colubridae,580,225.7,6.136200319,66.19703594,0.092695998,5.8,1,3,35.58996185,4,0.75,0.29,0.087,23.2,20.16114508,0.44,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Crotalus viridis,Viperidae,564,245,15.07425834,137.9259618,0.122313724,9.7,1,7,146.2203059,6.666666667,0.85,0.16,0.031,64.66666667,59.68535499,0.61,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Crotalus viridis,Viperidae,605,245,15.07425834,166.1730227,0.102488465,10.2,0.5,3,76.87871753,4,0.75,0.29,0.098,20.4,17.72790343,0.46,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Crotalus viridis,Viperidae,650,245,15.07425834,201.0411509,0.085537563,5.5,0.4,7,33.16336835,6.666666667,0.85,0.16,0.136,14.66666667,13.53688464,0.75,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Elapidae,Cryptophis nigrescens,Elapidae,285,152.3,2.898430312,13.48138283,0.206155397,4.2,1,3,12.17340731,3.846153846,0.74,0.3,0.123,16.15384615,13.94861828,0.5,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Diadophis punctatus,Colubridae,235,111.5,1.037845403,6.793459848,0.152771257,3.9,1,3,4.047597072,3.846153846,0.74,0.3,0.133,15,12.9522884,0.51,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Diadophis punctatus,Colubridae,235,111.5,1.037845403,6.793459848,0.152771257,3.9,1,2.8,4.047597072,2.5,0.6,0.51,0.205,9.75,7.634699237,0.56,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Elaphe quadrivirgata,Colubridae,549,250,7.939786452,57.63977914,0.137748384,9.2,1,2,73.04603536,2.5,0.6,0.51,0.087,23,18.01005974,0.29,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Heterodon nasicus,Colubridae,350,153,2.303681346,18.53751314,0.124271326,9.5,1,1.8,21.88497279,2.702702703,0.63,0.46,0.078,25.67567568,20.56119244,0.23,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Heterodon nasicus,Colubridae,350,153,2.303681346,18.53751314,0.124271326,9.5,0.5,1.8,10.94248639,2.702702703,0.63,0.46,0.156,12.83783784,10.28059622,0.35,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Heterodon nasicus,Colubridae,350,153,2.303681346,18.53751314,0.124271326,9.5,0.5,2,10.94248639,2.702702703,0.63,0.46,0.156,12.83783784,10.28059622,0.39,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Heterodon platirhinos,Colubridae,560,234,6.720846255,60.59458676,0.110914961,19.1,1,2,128.3681635,1.886792453,0.47,0.76,0.055,36.03773585,25.29725653,0.24,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Heterodon platirhinos,Colubridae,560,234,6.720846255,60.59458676,0.110914961,19.1,0.8,2,102.6945308,1.886792453,0.47,0.76,0.074,28.83018868,20.23780522,0.27,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Elapidae,Hoplocephalus bungaroides,Elapidae,448,232,8.138456133,40.88697384,0.235679296,6.8,0.5,6,27.67075085,5.555555556,0.82,0.2,0.108,18.88888889,17.132698,0.69,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Masticophis taeniatus,Colubridae,740,287.5,11.29190926,122.3105541,0.092321626,5.8,1,3,65.49307371,5,0.8,0.22,0.069,29,25.99223668,0.41,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Nerodia sipedon,Colubridae,470,184,3.66725335,38.96606961,0.094114017,22.6,1,2,82.87992571,1.538461538,0.35,1.05,0.058,34.76923077,21.52745639,0.24,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Opheodrys aestivus,Colubridae,350,139,1.808828102,18.53751314,0.097576632,6.1,1,1.8,11.03385142,1.960784314,0.49,0.71,0.167,11.96078431,8.551203419,0.36,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Opheodrys aestivus,Colubridae,350,139,1.808828102,18.53751314,0.097576632,6.1,1,2,11.03385142,1.960784314,0.49,0.71,0.167,11.96078431,8.551203419,0.41,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Opheodrys aestivus,Colubridae,350,139,1.808828102,18.53751314,0.097576632,6.1,1,2,11.03385142,1.960784314,0.49,0.71,0.167,11.96078431,8.551203419,0.41,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Pituophis melanoleucus,Colubridae,740,331.1,16.11747983,122.3105541,0.131775054,7.4,1,3,119.2693507,5,0.8,0.22,0.054,37,33.16250887,0.38,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Pituophis melanoleucus,Colubridae,740,331.1,16.11747983,122.3105541,0.131775054,7.4,1,3,119.2693507,2.702702703,0.63,0.46,0.1,20,16.01608674,0.46,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Pituophis melanoleucus,Colubridae,740,331.1,16.11747983,122.3105541,0.131775054,7.4,1,3,119.2693507,2.702702703,0.63,0.46,0.1,20,16.01608674,0.46,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Rhabdophis tigrinus,Colubridae,548,168,2.915945415,57.37556925,0.050822074,12.9,1,2,37.61569585,1.694915254,0.41,0.89,0.091,21.86440678,14.46840199,0.3,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Thamnophis ordinoides,Colubridae,527.2,139,1.808828102,52.04488006,0.034755159,9.5,1,2,17.18386697,2,0.5,0.69,0.105,19,13.70560289,0.32,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Thamnophis proximus,Colubridae,527.2,139,1.808828102,52.04488006,0.034755159,8.4,1,2,15.19415606,2,0.5,0.69,0.119,16.8,12.11863834,0.35,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Thamnophis sirtalis,Colubridae,504,167.9,2.911573475,46.46489412,0.062661791,14.5,1,1.8,42.21781539,2,0.5,0.69,0.069,29,20.91907809,0.22,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Thamnophis sirtalis,Colubridae,504,185,3.717686425,46.46489412,0.080010651,11.3,1,2,42.0098566,2,0.5,0.69,0.088,22.6,16.30245396,0.3,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Colubridae,Thamnophis sirtalis,Colubridae,504,154,2.341813021,46.46489412,0.05039962,16.4,0.5,2,19.20286677,2,0.5,0.69,0.122,16.4,11.83009934,0.35,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera aspis,Viperidae,463,200,8.794975591,81.68033893,0.120595608,7,0.5,4.5,30.78241457,4,0.75,0.29,0.143,14,12.16620824,0.65,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera aspis,Viperidae,463,200,8.794975591,81.68033893,0.120595608,7,0.3,5,18.46944874,5,0.8,0.22,0.19,10.5,9.410982247,0.72,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera aspis,Viperidae,400,200,8.794975591,55.39483549,0.174342958,7,0.3,5.5,18.46944874,4.545454545,0.78,0.25,0.251,9.545454545,8.452018479,0.78,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera berus,Viperidae,450,144.5,3.710642667,75.73196475,0.057117796,7.9,0.5,3,14.65703853,4.347826087,0.77,0.26,0.116,17.17391304,15.11297827,0.49,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Squamate,Viperidae,Vipera berus,Viperidae,450,195,8.223219694,75.73196475,0.121560278,7.5,0.5,3,30.83707385,4.347826087,0.77,0.26,0.123,16.30434783,14.34776418,0.5,Viviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Cheloniidae,Caretta caretta,,651,43,16.03888226,33941.51451,0.000472545,120,1.5,20,2886.998807,5.263157895,0.81,0.21,0.002,947.3684211,854.2099423,0.73,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Chelidae,Chelodina longicollis,,170,29.8,5.706915255,771.729411,0.007394969,2,1.5,10,17.12074577,50,0.98,0.02,0.001,150,148.4949494,0.52,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
Reptile,Testudines,Cheloniidae,Chelonia mydas,,692,51,25.94136041,40316.14194,0.000643448,110,1.3,25,3709.614539,2.564102564,0.61,0.49,0.005,366.6666667,289.3001499,0.81,Oviparous,Juvenile survival inferred from adult fecundity. Life table data directly from Pike et al. (2008) Ecology.
